"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Study on Testing Autonomous Driving Systems","X. Zhang; Y. Cai; Z. Yang","State Key Laboratory of Computer Science Institute of Software, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Computer Science, Institute of Software Chinese Academy of Sciences, Beijing, China; GuardStrike Inc., Xi'an, China","2020 IEEE 20th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","21 Dec 2020","2020","","","241","244","In recent years, with the rapid development of artificial intelligence and other related technologies, the traditional automotive industry has begun to integrate information technology in an all-round way. Due to the contributions of computer vision, deep learning, and sensitive sensors, autonomous driving systems (ADS) has now achieved great progress. But as we all know, the primary requirement for autonomous driving is absolute safety. However, technology innovation has brought great challenges to the testing of ADS, and due to the high cost of field testing, industrial companies rarely open relevant test data for research. This paper aims to study existing testing methods for ADS. Our study shows that there are few published works focusing on testing aspects of ADS. However, there is an obvious trend on the record of published works on testing ADS. Also, we can find that most reviewed works focus on setting up virtual test environment including generating, synthesizing, or reconstructing test input data. They either treat ADS as a whole to conduct (sub) system level testing or limit ADS into certain scenarios. From this, we believe that testing of ADS has just begun to attract researchers' interest; great effort should be paid before ADS becomes maturer.","","978-1-7281-8915-4","10.1109/QRS-C51114.2020.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282713","Automated Driving Systems;Testing","Technological innovation;Software quality;Tools;Software reliability;Safety;Autonomous vehicles;Testing","","2","","13","IEEE","21 Dec 2020","","","IEEE","IEEE Conferences"
"A Learning-Aided Generic Framework for Fault Detection and Recovery of Inertial Sensors in Automated Driving Systems","Y. Liao; E. Hashemi; T. Wang; B. Yang","Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany; Department of the Mechanical and Mechatronics Engineering, University of Waterloo, Waterloo, ON, Canada; Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany; Institute of Signal Processing and System Theory, University of Stuttgart, Stuttgart, Germany",IEEE Systems Journal,"7 Jun 2021","2021","15","2","3001","3011","A generic framework is proposed for fault detection and recovery (FDR) in automated driving systems (ADSs) with inertial sensors, which is based on multitask one-dimensional convolutional neural networks (MONN). FDR plays an important role for safe and robust vehicle controls in driver-assistance and ADSs. Although model-based fault detection and recovery methods are well established in the literature, they need accurate model description and are often designed under ideal conditions. Data-driven fault diagnosis, however, might overlook apparent physical relations among sensors. In order to take advantage of both approaches, dynamic relations among measured physical quantities and temporal finite differences are introduced in a MONN as additional features. The proposed algorithm achieved more reliable performance and outperformed considered state-of-the-art methods under various testing conditions. Extensive experiments were conducted to empirically show the effectiveness of the proposed generic FDR framework.","1937-9234","","10.1109/JSYST.2020.3004805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139519","Automated driving systems (ADS);fault detection and recovery (FDR);kinematic features;multitask neural network;time series","Fault detection;Kinematics;Fault diagnosis;Neural networks;Sensor systems;Training","","9","","40","IEEE","13 Jul 2020","","","IEEE","IEEE Journals"
"Simulation-Based Testing of Automated Driving Systems","F. Khan","Institute of Computer Science, University of Tartu, Tartu, Estonia",2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"20 Jun 2024","2024","","","217","219","Automated Driving Systems (ADS) require extensive safety testing before receiving a road permit. To gain public trust, ADSs must be as safe as a Human Driven Vehicle (HDV) or even safer. Simulation-based safety testing is a cost-effective way to check the safety of ADS. My goal is to compare the safety behavior of ADS with HDV via simulation and to develop a process of selecting testing scenarios that could be useful to build trust and reliability in simulations. Additionally, I aim to translate the performance advantages and disadvantages observed in simulated ADS behavior into real-world safety-critical traffic situations.","2574-1934","979-8-4007-0502-1","10.1145/3639478.3639788","Estonian Research Council(grant numbers:PRG1226); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10554838","Automated Driving Systems;Safety Testing;Simulation-based Testing","Roads;Safety;Software reliability;Testing;Software engineering","","","","17","CCBY","20 Jun 2024","","","IEEE","IEEE Conferences"
"Redundant INS/ADS System’s Fault Detection and Isolation Based on Dempster-Shafer Evidence Reasoning","X. Cui; Y. Cheng; Z. Li","School of Automation, Northwestern Polytechnical University, Xi’an, P.R.China; School of Automation, Northwestern Polytechnical University, Xi’an, P.R.China; School of Automation, Northwestern Polytechnical University, Xi’an, P.R.China",2019 Chinese Automation Congress (CAC),"13 Feb 2020","2019","","","4162","4166","In allusion to residual chi-square test method has low sensitivity for soft fault detection and cannot isolate the faulty system in integrated navigation system, a redundant INS/ADS fault detection and isolation method based on Dempster-Shafer (D-S) evidence reasoning is proposed in this paper. In this method, three INS/ADS and three INS/GPS sub-filters are constructed respectively by introducing intact GPS in the three redundancy INS/ADS system, and the difference between the residuals of each two sub-filters is used as evidence, then the fault detection of sub-filters is completed by using D-S evidence reasoning. On this basis, the fault isolation and system reconstruction methods are given, and the fault isolation of the INS/ADS integrated navigation system is realized. The simulation results show that the proposed method can not only improve the sensitivity of soft fault detection, but also isolate the fault system in integrated navigation system.","2688-0938","978-1-7281-4094-0","10.1109/CAC48633.2019.8996287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8996287","three-redundancy INS/ADS;D-S evidence reasoning;fault detection and isolation;soft fault","Fault detection;Cognition;Uncertainty;Global Positioning System;Sensitivity;Redundancy","","","","13","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Vehicle sensor and actuator fault detection algorithm for automated vehicles","Y. Jeong; K. Kim; B. Kim; J. Yoon; H. Chong; B. Ko; K. Yi","Seoul National University, Seoul, Korea; Seoul National University, Seoul, Korea; Seoul National University, Seoul, Korea; Hyundai Kia Motors R&D Center, Hwaseong, Korea; Hyundai Kia Motors R&D Center, Hwaseong, Korea; Hyundai Kia Motors R&D Center, Hwaseong, Korea; Seoul National University, Seoul, Korea",2015 IEEE Intelligent Vehicles Symposium (IV),"27 Aug 2015","2015","","","927","932","This paper presents a vehicle sensor and actuator fault detection algorithm for automated vehicles. The diagnostic system is designed to monitor steering wheel angle, yaw-rate, and wheel speed sensors and steering, throttle, and brake actuators used by the lateral and longitudinal controllers of the vehicle. Different combinations of the observer estimates, the sensor measurements, and the control commands are used to construct a bank of residuals. A fault in any of the vehicle sensors and actuators leads to increase of the unique subset of residuals. The adaptive threshold is used to enable exact identification of the abnormal increase of residual. The fault detection performance and its reliability of the proposed algorithm have been investigated via computer simulation studies and real-time vehicle tests. The enhancement of the fault detection allows for realization of autonomous driving vehicle which uses actuation by embedded computer.","1931-0587","978-1-4673-7266-4","10.1109/IVS.2015.7225803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225803","","Vehicles;Wheels;Actuators;Fault detection;Acceleration;Mathematical model","","11","2","15","IEEE","27 Aug 2015","","","IEEE","IEEE Conferences"
"A Comprehensive Simulation Platform for Testing Autonomous Vehicles in 3D Virtual Environment","V. R. Aparow; A. Choudary; G. Kulandaivelu; T. Webster; J. Dauwels; N. d. Boer","Faculty of Engineering, University of Nottingham Malaysia Campus, Jalan Broga, Semenyih, Selangor, Malaysia; A*STAR, Institute for Infocomm Research (I2R), Singapore; Centre of Excellence for Testing&Research of Avs-NTU, Singapore; Centre of Excellence for Testing&Research of Avs-NTU, Singapore; School of Electrical and Electronics Engineering, NTU, Singapore; Centre of Excellence for Testing&Research of Avs-NTU, Singapore",2019 IEEE 5th International Conference on Mechatronics System and Robots (ICMSR),"16 Sep 2019","2019","","","115","119","A key obstruction to the progress of AV's is determining how authorities will certify them. When Automated Driving Systems (ADS) reach SAE level 3 automation, it will no longer be adequate to continue the current practice of relying on physical testing alone. To this end this paper discusses the creation of a virtual platform which may test how an ADS responds to challenging situations. The aim is for the platform to be used for independent tests of ADSs and form part of the approval framework which enables the deployment of AVs on public roads in the future.","","978-1-7281-2223-6","10.1109/ICMSR.2019.8835477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835477","component;Automated Driving Systems;Simulations;IPG CarMaker;Autoware, APO","Testing;Vehicle dynamics;Robot sensing systems;Load modeling;Aerodynamics;Planning;Autonomous vehicles","","15","","16","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Accelerating Regression Testing for Scaled Self-Driving Cars with Lightweight Virtualization -- A Case Study","C. Berger","Department of Computer Science and Engineering, University of Gothenburg",2015 IEEE/ACM 1st International Workshop on Software Engineering for Smart Cyber-Physical Systems,"3 Aug 2015","2015","","","2","7","Engineering software for smart cyber-physical systems (sCPS) challenges developers as they have to deal with uncertain and volatile stimuli data perceived by sensors. Regression testing of a sCPS is time-consuming on sequential execution. However, sequential testing can be parallelized depending on the system calls used in the system-under-test. In a case study about accelerating regression testing for scaled self-driving cars, we evaluate the use of namespace-separation based lightweight virtualization that powers solutions like Docker or Google's lmctfy. After transparently adding lightweight virtualization to Cxx Test that is used for regression testing, the total test execution time could be reduced from previously over 12min by more than 62% to less than 5min. Thus, the technology for today's lightweight virtualization can also be used to safely accelerate test-runners without changing existing test cases.","","978-1-4673-7088-2","10.1109/SEsCPS.2015.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7173936","regression testing;lightweight virtualization;namespace separation;Linux;clone;CPS;self-driving cars","Virtualization;Testing;Autonomous automobiles;Software;Linux;Life estimation;Google","","4","","17","IEEE","3 Aug 2015","","","IEEE","IEEE Conferences"
"Evaluation of T-Way Testing of DNNs in Autonomous Driving Systems","J. Chandrasekaran; A. R. Patel; Y. Lei; R. Kacker; D. R. Kuhn","Department of Computer Science & Engineering, The University of Texas at Arlington, Arlington, USA; Department of Computer Science & Engineering, The University of Texas at Arlington, Arlington, USA; Department of Computer Science & Engineering, The University of Texas at Arlington, Arlington, USA; Information Technology Lab, National Institute of Standards and Technology, Gaithersburg, USA; Information Technology Lab, National Institute of Standards and Technology, Gaithersburg, USA",2021 IEEE International Conference on Artificial Intelligence Testing (AITest),"14 Oct 2021","2021","","","17","18","A Deep Neural Network (DNN) model is used to perform intelligent, safety-critical tasks in Autonomous Driving Systems (ADS). In our prior work, we proposed a combinatorial testing approach to test DNN models used to predict a car's steering angle. We generate test images by applying a set of combinations of basic image transformations. In this paper, we report a preliminary study that compares the performance of synthetic images generated using a combinatorial approach to DeepTest, a state-of-the-art tool that aims at generating test inputs that maximize neuron coverage. We present an experimental evaluation by measuring and comparing the neuron coverage achieved using the two approaches. Two pre-trained DNN models from the Udacity driving challenge are used as the subject DNNs. The results suggest that the combinatorial approach performs better than the DeepTest approach in generating valid synthetic images and covering an additional number of neurons.","","978-1-6654-3481-2","10.1109/AITEST52744.2021.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564319","Combinatorial Testing;DeepTest;Neuron Coverage","Deep learning;Conferences;Combinatorial testing;Neurons;Tools;Predictive models;Task analysis","","","","4","IEEE","14 Oct 2021","","","IEEE","IEEE Conferences"
"Parameter-Based Testing and Debugging of Autonomous Driving Systems","P. Arcaini; A. Calò; F. Ishikawa; T. Laurent; X. -Y. Zhang; S. Ali; F. Hauer; A. Ventresque","National Institute of Informatics, Tokyo, Japan; Technical University of Munich, Munich, Germany; National Institute of Informatics, Tokyo, Japan; Lero@UCD, School of Computer Science, University College Dublin, Dublin, Ireland; National Institute of Informatics, Tokyo, Japan; Simula Research Laboratory, Oslo, Norway; Technical University of Munich, Munich, Germany; Lero@UCD, School of Computer Science, University College Dublin, Dublin, Ireland",2021 IEEE Intelligent Vehicles Symposium Workshops (IV Workshops),"10 Jan 2022","2021","","","197","202","Testing of Autonomous Driving Systems (ADSs) is of paramount importance. However, ADS testing raises several challenges specific to the domain. Typical testing (coverage criteria, test generation, and oracle definition) and debugging activities performed for software programs are not directly applicable to ADSs, because of the lack of proper test oracles, and the difficulty of specifying the desired, correct ADS behavior. We tackle these challenges by extending and combining existing approaches to the domain of testing ADS. The approach is demonstrated on an industrial path planner. The path planner decides which path to follow through a cost function that uses parameters to assign a cost to the driving characteristics (e.g., lateral acceleration or speed) that must be applied in the path. These parameters implicitly describe the behavior of the ADS. We exploit this idea for defining a coverage criterion, for automatically specifying an oracle, and for debugging the path planner.","","978-1-6654-7921-9","10.1109/IVWorkshops54471.2021.9669254","Science Foundation Ireland; European Regional Development Fund; Irish Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9669254","","Costs;Conferences;Debugging;Cost function;Software;Test pattern generators;Autonomous vehicles","","2","","19","IEEE","10 Jan 2022","","","IEEE","IEEE Conferences"
"Automated Driving Systems Operating as Mobility as a Service: Operational Risks and SAE J3016 Standard","M. A. Ramos; C. Correa Jullian; J. McCullough; J. Ma; A. Mosleh",University of California Los Angeles; University of California Los Angeles; University of California Los Angeles; University of California Los Angeles; University of California Los Angeles,2023 Annual Reliability and Maintainability Symposium (RAMS),"5 Apr 2023","2023","","","1","6","SUMMARY & CONCLUSIONSLevel 4 (L4) Automated Driving Systems (ADS) development and testing efforts target not only personal use, but also its deployment within a Mobility as a Service (MaaS) context. MaaS operations introduce additional safety aspects related to passenger behavior, fleet operators, communication between fleet operators, ADS developers, and vehicle manufacturers. However, the operational safety of L4 ADS vehicles operating within a MaaS context has not been fully addressed.The Society of Automotive Engineers (SAE) J3016 standard provides a solid foundation for the concepts related to ADS operations, including safety-related ones such as how the ADS vehicle should behave in case of a system failure or when exiting the domain in which it is designed to operate – DDT Fallback. This paper discusses J3016 essential concepts and the challenges posed by the use of ADS vehicles, within a MaaS operation, to some of these concepts. Through Event Sequence Diagrams, new goals for the ADS DDT fallback are proposed, and the roles of remote monitoring operators for safety are discussed.","2577-0993","978-1-6654-6053-8","10.1109/RAMS51473.2023.10088244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10088244","Automated Driving Systems;Mobility as a Service;DDT Fallback;Operational Safety;J3016","Random access memory;Solids;Safety;Behavioral sciences;Reliability;Standards;Remote monitoring","","2","","14","IEEE","5 Apr 2023","","","IEEE","IEEE Conferences"
